fname,label,length,target,envelope,counter
00044347.wav,Hi-hat,14.0,0,2.713809523809524,2
006f2f32.wav,Hi-hat,1.68,0,0.4556689342403628,1
00ce569f.wav,Hi-hat,2.62,0,0.3712018140589569,1
018d1dc4.wav,Hi-hat,1.88,0,1.4875056689342403,1
01974c7c.wav,Hi-hat,0.82,0,0.3801360544217687,1
0259e5d2.wav,Hi-hat,0.88,0,0.1707482993197279,1
025f3fd2.wav,Hi-hat,3.14,0,1.422517006802721,1
03f38c68.wav,Hi-hat,0.4,0,0.10099773242630386,1
06c48eab.wav,Hi-hat,4.18,0,1.3002267573696145,1
06fd1973.wav,Hi-hat,0.38,0,0.2749206349206349,1
074e2f09.wav,Hi-hat,0.32,0,0.07643990929705216,1
078f7ac0.wav,Hi-hat,3.14,0,0.9420861678004536,1
07f88679.wav,Hi-hat,1.72,0,0.14140589569160994,1
0958751e.wav,Hi-hat,0.42,0,0.24514739229024946,1
09a1cfd7.wav,Hi-hat,1.68,0,0.2499092970521542,1
0aa32376.wav,Hi-hat,0.74,0,0.2953968253968254,1
0aab722d.wav,Hi-hat,1.06,0,0.155124716553288,1
0b6ac630.wav,Hi-hat,7.68,0,1.024920634920635,1
0ba927cd.wav,Hi-hat,0.84,0,0.102562358276644,1
0e4372d4.wav,Hi-hat,0.72,0,0.4973469387755102,1
0ed06544.wav,Hi-hat,3.14,0,1.013061224489796,1
0ef9a602.wav,Hi-hat,4.18,0,0.4313378684807256,1
0f34d08e.wav,Hi-hat,0.84,0,0.17233560090702948,1
0f53ac39.wav,Hi-hat,0.5,0,0.12328798185941045,1
0f72651c.wav,Hi-hat,3.24,0,1.4826303854875282,1
1163de55.wav,Hi-hat,2.84,0,2.1487528344671203,1
116ddaf8.wav,Hi-hat,0.72,0,0.11349206349206348,1
118e9ae3.wav,Hi-hat,0.8,0,0.1949659863945578,1
12091a74.wav,Hi-hat,16.46,0,14.897687074829932,4
13847ff3.wav,Hi-hat,24.28,0,16.656167800453513,5
141291fc.wav,Hi-hat,3.7,0,1.2914285714285714,1
14d37fb3.wav,Hi-hat,1.02,0,0.4371201814058957,1
15b6657d.wav,Hi-hat,0.56,0,0.3417687074829932,1
160507aa.wav,Hi-hat,8.34,0,8.338639455782314,2
16127914.wav,Hi-hat,0.4,0,0.14263038548752835,1
19341f36.wav,Hi-hat,4.18,0,1.6759863945578233,1
197cbdfe.wav,Hi-hat,24.94,0,1.7173922902494332,2
1a7af185.wav,Hi-hat,0.62,0,0.0609750566893424,1
1cc13604.wav,Hi-hat,8.36,0,2.43578231292517,1
1dc66b7b.wav,Hi-hat,0.98,0,0.1363265306122449,1
1de37a8c.wav,Hi-hat,0.42,0,0.2001360544217687,1
1e10d3fc.wav,Hi-hat,3.14,0,0.8097505668934241,1
2032be87.wav,Hi-hat,3.14,0,1.2403401360544215,1
21cd8b2c.wav,Hi-hat,0.72,0,0.3878004535147392,1
22979cf9.wav,Hi-hat,1.52,0,0.6859183673469388,1
2503aaa1.wav,Hi-hat,3.14,0,1.1887755102040816,1
25bca056.wav,Hi-hat,0.42,0,0.12977324263038548,1
264574a5.wav,Hi-hat,0.4,0,0.4,1
276ee568.wav,Hi-hat,16.0,0,1.207278911564626,1
27c53672.wav,Hi-hat,3.82,0,3.7755328798185936,1
283a585f.wav,Hi-hat,0.5,0,0.08399092970521542,1
288d0dff.wav,Hi-hat,3.14,0,0.9495238095238095,1
289250ae.wav,Hi-hat,19.74,0,7.796077097505669,3
289e5d2a.wav,Hi-hat,0.46,0,0.46,1
2933a5dc.wav,Hi-hat,7.12,0,5.998730158730159,1
2a4aa95d.wav,Hi-hat,1.1,0,0.15299319727891156,1
2d3e9e2a.wav,Hi-hat,9.1,0,1.7632879818594105,1
2d8fd57d.wav,Hi-hat,0.36,0,0.36,1
2f5fe8ea.wav,Hi-hat,11.7,0,7.529705215419501,2
2fbbe0d8.wav,Hi-hat,0.56,0,0.10011337868480727,1
30114da8.wav,Hi-hat,4.18,0,1.4469841269841268,1
323db912.wav,Hi-hat,0.78,0,0.5411337868480726,1
330f84e3.wav,Hi-hat,0.4,0,0.13802721088435374,1
33298bf9.wav,Hi-hat,3.0,0,0.8467800453514739,1
34a90030.wav,Hi-hat,3.14,0,0.7439002267573697,1
369164fe.wav,Hi-hat,1.88,0,1.8235827664399091,1
37ab0462.wav,Hi-hat,0.34,0,0.10251700680272108,1
39ff9b6b.wav,Hi-hat,3.14,0,1.325124716553288,1
3a3d0279.wav,Hi-hat,1.68,0,0.17485260770975056,1
3aafb6ad.wav,Hi-hat,4.18,0,0.7003174603174603,1
3ac4653e.wav,Hi-hat,1.86,0,1.5623809523809524,1
3ad40d01.wav,Hi-hat,7.52,0,2.4381632653061223,1
3c462bc9.wav,Hi-hat,3.44,0,3.44,1
3ca538bf.wav,Hi-hat,0.64,0,0.07419501133786847,1
3d2fd74b.wav,Hi-hat,5.0,0,1.2692063492063492,1
3d3439f1.wav,Hi-hat,1.68,0,0.307687074829932,1
3dc717ea.wav,Hi-hat,14.8,0,14.312471655328796,3
3e410f2b.wav,Hi-hat,2.4,0,2.1538775510204085,1
40772f25.wav,Hi-hat,3.44,0,1.8273922902494333,1
41897c32.wav,Hi-hat,4.18,0,0.2666213151927438,1
4245ef44.wav,Hi-hat,1.14,0,0.4839455782312925,1
42470db4.wav,Hi-hat,3.14,0,0.729297052154195,1
435160bb.wav,Hi-hat,0.56,0,0.16807256235827664,1
436afb11.wav,Hi-hat,8.74,0,4.69061224489796,1
45665f2e.wav,Hi-hat,0.38,0,0.1745124716553288,1
45ce1b24.wav,Hi-hat,16.0,0,7.548526077097505,3
45da8553.wav,Hi-hat,4.18,0,0.6662585034013605,1
468f9c4c.wav,Hi-hat,6.56,0,1.605374149659864,1
46e13bac.wav,Hi-hat,3.44,0,3.44,1
4715ec32.wav,Hi-hat,1.18,0,0.5295918367346939,1
47395931.wav,Hi-hat,3.14,0,0.5425170068027211,1
493c247b.wav,Hi-hat,3.14,0,0.8009977324263039,1
49687332.wav,Hi-hat,0.84,0,0.7168934240362812,1
49b3f727.wav,Hi-hat,6.0,0,5.98609977324263,1
4e5c2133.wav,Hi-hat,3.78,0,3.4097278911564626,1
4f5924a7.wav,Hi-hat,5.68,0,5.68,1
50495a4e.wav,Hi-hat,1.1,0,0.19045351473922906,1
514710bc.wav,Hi-hat,0.66,0,0.09235827664399092,1
52300f9b.wav,Hi-hat,3.14,0,0.7228344671201814,1
52ba1c68.wav,Hi-hat,1.7,0,0.9459863945578232,1
5316ab94.wav,Hi-hat,0.5,0,0.1573922902494331,1
532dfe7e.wav,Hi-hat,0.64,0,0.3097505668934241,1
53b70883.wav,Hi-hat,2.78,0,2.78,1
53da29c9.wav,Hi-hat,3.74,0,2.3695011337868483,1
54f86efe.wav,Hi-hat,3.74,0,1.1973469387755102,1
56c1363d.wav,Hi-hat,1.64,0,0.8659637188208616,1
57307037.wav,Hi-hat,3.14,0,0.4680272108843537,1
57419cc7.wav,Hi-hat,0.38,0,0.1746031746031746,1
57ac25f8.wav,Hi-hat,1.02,0,0.4010884353741497,1
589e5196.wav,Hi-hat,0.42,0,0.15,1
5aa1eff9.wav,Hi-hat,0.44,0,0.09467120181405896,1
5d02f94b.wav,Hi-hat,0.92,0,0.4753968253968254,1
5d5c4b15.wav,Hi-hat,23.3,0,8.036507936507936,5
5ec7ad26.wav,Hi-hat,4.18,0,0.3906122448979592,1
5f18dad3.wav,Hi-hat,0.64,0,0.1910204081632653,1
5f7dd0fb.wav,Hi-hat,0.42,0,0.16145124716553289,1
